n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,3,43,1.4066479206085205,569,0.1392652988433838,25,0.2440352439880371
1,2,4,34,0.6038179397583008,314,0.06618642807006836,15,0.15338897705078125
1,3,5,75,1.0386905670166016,730,0.18538928031921387,64,1.2454519271850586
1,4,6,82,1.2446081638336182,952,0.22551250457763672,136,46.518452882766724
1,5,7,66,1.330019474029541,631,0.1557765007019043,226,24.804027795791626
1,6,8,78,1.4422950744628906,575,0.14987754821777344,1044,2.616250514984131
1,7,9,65,1.3307361602783203,420,0.11448502540588379,48,10.754483938217163
1,8,10,100,1.5345733165740967,852,0.2617838382720947,132,4509.338345050812
2,1,3,15,0.4064328670501709,66,0.02664804458618164,2,0.004534482955932617
2,2,4,37,0.7115132808685303,304,0.08707547187805176,13,0.14285755157470703
2,3,5,68,1.1685831546783447,772,0.2111814022064209,168,1.5467724800109863
2,4,6,60,1.0240075588226318,512,0.12442564964294434,48,0.7943124771118164
2,5,7,50,1.0702168941497803,338,0.08890867233276367,14,1.2669458389282227
2,6,8,75,1.4814214706420898,494,0.1318509578704834,100,4.543903589248657
2,7,9,72,1.5604047775268555,473,0.14712095260620117,0,0.01448822021484375
2,8,10,102,1.8283123970031738,943,0.24855399131774902,2591,164.77318692207336
3,1,3,30,0.5276105403900146,260,0.0793759822845459,7,0.044309377670288086
3,2,4,34,0.7383079528808594,277,0.06603717803955078,13,0.11733770370483398
3,3,5,39,0.857835054397583,260,0.06576132774353027,15,0.23038911819458008
3,4,6,97,1.5888798236846924,1208,0.2726778984069824,566,16.618756532669067
3,5,7,72,1.3209786415100098,732,0.18120980262756348,58,9.145459413528442
3,6,8,76,1.5186340808868408,676,0.18979692459106445,68,6.026554346084595
3,7,9,93,1.6526587009429932,802,0.22027039527893066,96,7.3169944286346436
3,8,10,76,1.5999672412872314,486,0.13748812675476074,68,1.3266119956970215
4,1,3,31,0.5859417915344238,288,0.06998276710510254,10,0.03469204902648926
4,2,4,49,0.7879147529602051,334,0.09192109107971191,8,0.046916961669921875
4,3,5,52,0.8390350341796875,505,0.12105679512023926,35,0.5495638847351074
4,4,6,75,1.262484073638916,933,0.23654699325561523,174,4.4730260372161865
4,5,7,99,1.6304569244384766,754,0.2759895324707031,196,12.151200532913208
4,6,8,96,1.601698398590088,1066,0.2823927402496338,1284,65.67243218421936
4,7,9,76,1.461029291152954,650,0.17011332511901855,24,4.5595269203186035
4,8,10,108,2.0121006965637207,1217,0.34340906143188477,856,254.91902041435242
5,1,3,47,0.8025407791137695,578,0.13741588592529297,25,0.1914520263671875
5,2,4,36,0.7353343963623047,246,0.08646035194396973,5,0.08029437065124512
5,3,5,90,1.39638352394104,1360,0.3494856357574463,464,34.740424394607544
5,4,6,60,1.0473988056182861,521,0.1269233226776123,88,3.420283555984497
5,5,7,74,1.4192662239074707,808,0.23812508583068848,100,3.342439651489258
5,6,8,95,1.615964651107788,1186,0.29378175735473633,982,82.1963484287262
5,7,9,69,1.479787826538086,508,0.14867329597473145,56,6.666044235229492
5,8,10,88,1.6407268047332764,700,0.18202900886535645,0,0.04846930503845215
