n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,5,3,2,30,2.781522750854492,166,0.08369159698486328,5,0.11651802062988281
1,2,5,4,2,50,1.0772652626037598,491,0.11805152893066406,62,0.6891670227050781
1,3,5,5,2,33,0.9023082256317139,209,0.0627284049987793,6,0.10660362243652344
1,4,5,6,2,84,1.6056945323944092,1131,0.2525320053100586,347,23.863852977752686
1,5,5,7,2,42,1.2252709865570068,392,0.1018974781036377,28,0.3769338130950928
1,6,5,8,2,60,1.6662187576293945,486,0.14136028289794922,68,0.25069642066955566
1,7,5,9,2,51,1.6141765117645264,357,0.1420748233795166,10,0.5563242435455322
1,8,5,10,2,56,1.8336026668548584,427,0.129591703414917,18,0.21294069290161133
2,1,5,3,2,44,0.8169155120849609,314,0.08580684661865234,24,0.10002923011779785
2,2,5,4,2,47,1.0444209575653076,430,0.10769820213317871,52,0.7082898616790771
2,3,5,5,2,44,0.9224507808685303,376,0.1080777645111084,22,0.4567406177520752
2,4,5,6,2,73,1.4913480281829834,839,0.23092865943908691,36,0.7798581123352051
2,5,5,7,2,50,1.2112493515014648,384,0.12117934226989746,13,0.32260632514953613
2,6,5,8,2,46,1.1675820350646973,440,0.12666845321655273,52,0.7646942138671875
2,7,5,9,2,67,1.6907176971435547,733,0.1926114559173584,114,1.172872543334961
2,8,5,10,2,93,2.048069953918457,1582,0.39664626121520996,334,36.36970019340515
3,1,5,3,2,33,0.7114744186401367,203,0.06383371353149414,8,0.05862569808959961
3,2,5,4,2,32,0.8131093978881836,188,0.05311417579650879,7,0.1003870964050293
3,3,5,5,2,33,0.8345880508422852,207,0.07753205299377441,8,0.13222169876098633
3,4,5,6,2,74,1.4452764987945557,916,0.22398948669433594,106,2.7016308307647705
3,5,5,7,2,72,1.6227128505706787,896,0.21602606773376465,266,11.935824871063232
3,6,5,8,2,108,2.3557794094085693,1550,0.4075157642364502,284,10.571922063827515
3,7,5,9,2,57,1.535252571105957,435,0.1380467414855957,29,0.3769876956939697
3,8,5,10,2,81,2.0620834827423096,1215,0.3050665855407715,652,90.73254537582397
4,1,5,3,2,34,0.7951962947845459,226,0.06605792045593262,7,0.11598944664001465
4,2,5,4,2,43,0.9578585624694824,286,0.08597278594970703,23,0.5126338005065918
4,3,5,5,2,55,1.2013444900512695,552,0.14930391311645508,87,1.3647363185882568
4,4,5,6,2,74,1.7310400009155273,974,0.26397228240966797,204,9.564372301101685
