n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,5,5,2,43,1.6971254348754883,310,0.10726118087768555,16,0.3542494773864746
1,2,5,6,2,62,1.0831992626190186,601,0.15035724639892578,70,1.6366338729858398
1,3,5,7,2,88,1.8648581504821777,1175,0.2940804958343506,130,5.9612977504730225
1,4,5,8,2,74,2.2105321884155273,871,0.22194766998291016,12,0.2766861915588379
1,5,5,9,2,60,1.7943525314331055,629,0.14512014389038086,97,0.8695042133331299
1,6,5,10,2,136,4.675034284591675,2810,0.8121614456176758,940,237.36027240753174
2,1,5,5,2,53,1.0123543739318848,466,0.11423707008361816,24,0.9711921215057373
2,2,5,6,2,49,0.9362993240356445,444,0.09787487983703613,41,0.7931308746337891
2,3,5,7,2,52,1.1005268096923828,434,0.09926724433898926,70,1.2776446342468262
2,4,5,8,2,55,1.4567742347717285,519,0.11646318435668945,31,0.8757452964782715
2,5,5,9,2,83,2.0677924156188965,1386,0.3270127773284912,297,7.2452757358551025
2,6,5,10,2,99,2.687385082244873,1618,0.4033701419830322,312,45.10961127281189
3,1,5,5,2,45,0.88966965675354,377,0.08779311180114746,17,0.8708374500274658
3,2,5,6,2,60,1.171186923980713,708,0.16106462478637695,58,2.2636587619781494
3,3,5,7,2,51,1.15098237991333,548,0.11598324775695801,59,1.3379490375518799
3,4,5,8,2,41,0.9932727813720703,294,0.06951498985290527,16,0.3702881336212158
3,5,5,9,2,71,1.649651288986206,1045,0.23406982421875,131,5.8117876052856445
3,6,5,10,2,54,1.7552874088287354,480,0.10359907150268555,32,0.664276123046875
4,1,5,5,2,73,1.1151008605957031,891,0.20215439796447754,120,1.6581056118011475
4,2,5,6,2,58,1.0922162532806396,620,0.16444015502929688,62,0.5485138893127441
4,3,5,7,2,138,2.9842565059661865,1616,0.3484618663787842,544,5.32657790184021
4,4,5,8,2,59,1.2518091201782227,663,0.16210365295410156,120,0.5391569137573242
4,5,5,9,2,77,1.6913204193115234,894,0.19960665702819824,102,1.9947445392608643
4,6,5,10,2,116,2.9099297523498535,2060,0.6032960414886475,828,10.203481197357178
5,1,5,5,2,40,0.8521466255187988,290,0.06811952590942383,8,0.035111427307128906
5,2,5,6,2,47,0.901003360748291,364,0.11634659767150879,28,0.9160745143890381
5,3,5,7,2,66,1.419832468032837,639,0.1377260684967041,113,3.8936197757720947
5,4,5,8,2,81,1.587343454360962,906,0.2571682929992676,138,1.263925552368164
5,5,5,9,2,101,2.051954507827759,2038,0.4876701831817627,198,12.990077495574951
5,6,5,10,2,63,1.7589221000671387,847,0.23451757431030273,282,2.2805278301239014
6,1,5,5,2,56,0.974078893661499,633,0.13013482093811035,33,0.471646785736084
6,2,5,6,2,61,1.2291502952575684,710,0.14927291870117188,138,5.0972418785095215
6,3,5,7,2,69,1.4121599197387695,704,0.14221525192260742,92,5.732284784317017
6,4,5,8,2,83,1.715712070465088,1388,0.3012843132019043,318,2.3631088733673096
6,5,5,9,2,52,1.6638462543487549,456,0.11448931694030762,32,0.9490747451782227
6,6,5,10,2,111,2.775663137435913,1204,0.30059075355529785,380,11.032017469406128
7,1,5,5,2,80,1.3577797412872314,1184,0.2750394344329834,144,7.561599493026733
7,2,5,6,2,64,1.216613531112671,717,0.16399192810058594,50,0.7273116111755371
7,3,5,7,2,61,1.262364387512207,638,0.1470012664794922,89,3.542638063430786
7,4,5,8,2,84,1.797241449356079,1088,0.26760292053222656,939,9.657909393310547
7,5,5,9,2,101,2.4173386096954346,1758,0.4074747562408447,484,14.031868696212769
7,6,5,10,2,53,1.4818751811981201,509,0.1178596019744873,39,0.4572925567626953
8,1,5,5,2,51,1.0051615238189697,551,0.13532710075378418,27,1.0142595767974854
8,2,5,6,2,48,1.0211479663848877,328,0.09090495109558105,18,0.36938905715942383
8,3,5,7,2,57,1.1874701976776123,669,0.17224717140197754,102,2.975278377532959
8,4,5,8,2,67,1.3589022159576416,515,0.12225699424743652,31,0.53879714012146
8,5,5,9,2,64,1.7205114364624023,688,0.15680265426635742,160,3.539597272872925
8,6,5,10,2,58,1.6004419326782227,634,0.13797640800476074,70,0.6329841613769531
9,1,5,5,2,32,0.8074471950531006,200,0.047972679138183594,2,0.04608869552612305
9,2,5,6,2,51,1.0331392288208008,451,0.11626672744750977,25,0.0760951042175293
9,3,5,7,2,67,1.472048282623291,814,0.20255112648010254,102,2.479663133621216
9,4,5,8,2,49,1.178640365600586,389,0.09814071655273438,22,0.2941443920135498
9,5,5,9,2,36,1.1040441989898682,288,0.06205391883850098,15,0.3401916027069092
9,6,5,10,2,81,1.9488153457641602,1269,0.27747607231140137,416,12.289320707321167
10,1,5,5,2,45,0.8656764030456543,331,0.09050369262695312,17,0.41615724563598633
10,2,5,6,2,74,1.6250512599945068,836,0.21230053901672363,124,5.170882940292358
10,3,5,7,2,82,1.7565605640411377,685,0.1909317970275879,50,0.8044548034667969
10,4,5,8,2,66,1.446655511856079,653,0.18042922019958496,92,3.837237596511841
10,5,5,9,2,48,1.1029853820800781,381,0.08813357353210449,68,0.3578066825866699
10,6,5,10,2,98,2.1538472175598145,1219,0.30341196060180664,205,7.660608768463135
11,1,5,5,2,39,0.8391082286834717,281,0.06647348403930664,20,0.1731576919555664
11,2,5,6,2,51,0.9994277954101562,377,0.12491416931152344,13,0.34369492530822754
11,3,5,7,2,56,1.140669822692871,619,0.16281342506408691,51,0.4620330333709717
11,4,5,8,2,56,1.2182104587554932,451,0.11138916015625,46,0.23575305938720703
11,5,5,9,2,83,1.6254651546478271,1419,0.31467461585998535,1173,29.123631954193115
11,6,5,10,2,49,1.258110523223877,390,0.09430336952209473,24,0.6736021041870117
12,1,5,5,2,51,1.0326259136199951,448,0.0982813835144043,27,0.610084056854248
12,2,5,6,2,57,1.2468664646148682,492,0.10999798774719238,27,1.3813347816467285
12,3,5,7,2,59,1.2834980487823486,612,0.12892603874206543,146,2.6295065879821777
12,4,5,8,2,81,1.8054354190826416,1235,0.2973637580871582,486,8.10909390449524
12,5,5,9,2,40,1.1763465404510498,280,0.06841611862182617,9,0.24706459045410156
12,6,5,10,2,86,2.6879496574401855,1053,0.21690869331359863,112,12.080999374389648
13,1,5,5,2,46,0.8709738254547119,448,0.09355449676513672,42,0.22183561325073242
13,2,5,6,2,63,1.27409029006958,727,0.18500924110412598,80,4.205315589904785
13,3,5,7,2,55,1.2323529720306396,577,0.1247720718383789,104,1.6560466289520264
13,4,5,8,2,68,1.4726555347442627,712,0.16338372230529785,136,1.3899295330047607
13,5,5,9,2,70,1.716508388519287,740,0.20111918449401855,207,10.592470407485962
13,6,5,10,2,96,2.191946268081665,1754,0.3735074996948242,285,10.16882061958313
14,1,5,5,2,74,1.2085909843444824,1083,0.23581266403198242,192,1.7503690719604492
14,2,5,6,2,41,0.9302706718444824,284,0.07810831069946289,9,0.23039722442626953
14,3,5,7,2,49,1.0968832969665527,497,0.10267162322998047,61,0.49865174293518066
14,4,5,8,2,115,2.3754208087921143,1185,0.3091714382171631,115,24.934361457824707
14,5,5,9,2,49,1.2193400859832764,382,0.08997416496276855,18,0.17133307456970215
14,6,5,10,2,74,2.0874831676483154,883,0.2652280330657959,79,3.462923288345337
15,1,5,5,2,52,1.0633721351623535,496,0.10202360153198242,92,1.3984980583190918
15,2,5,6,2,53,1.0112535953521729,565,0.12125611305236816,40,0.7229616641998291
15,3,5,7,2,65,1.2727487087249756,689,0.16493797302246094,80,1.5453071594238281
15,4,5,8,2,57,1.2553586959838867,494,0.12032485008239746,60,0.8337123394012451
15,5,5,9,2,65,1.4627017974853516,727,0.18821144104003906,100,0.789496660232544
15,6,5,10,2,60,1.4412357807159424,720,0.17113208770751953,30,1.4002361297607422
16,1,5,5,2,41,0.8292632102966309,298,0.07414889335632324,8,0.2711305618286133
16,2,5,6,2,41,0.9344055652618408,334,0.07930922508239746,14,0.38547658920288086
16,3,5,7,2,71,1.3214261531829834,964,0.21368145942687988,102,4.966216564178467
16,4,5,8,2,46,1.0962965488433838,278,0.07825517654418945,7,0.08331680297851562
16,5,5,9,2,80,1.9380548000335693,1029,0.23310518264770508,286,6.424716472625732
16,6,5,10,2,113,3.006903886795044,1297,0.3274819850921631,360,9.267878532409668
17,1,5,5,2,63,1.0572404861450195,598,0.14706778526306152,54,0.8376588821411133
17,2,5,6,2,57,1.22391676902771,582,0.17025184631347656,25,0.6451210975646973
17,3,5,7,2,45,1.1312251091003418,359,0.0832209587097168,37,0.7712283134460449
17,4,5,8,2,73,1.546158790588379,690,0.1624147891998291,48,0.5219089984893799
