n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,3,21,2.5658977031707764,122,0.06421017646789551,2,0.04022622108459473
1,2,4,40,0.5597312450408936,374,0.11297154426574707,34,0.3952929973602295
1,3,5,69,0.8305587768554688,824,0.23063325881958008,39,2.587967872619629
1,4,6,42,1.7773082256317139,249,0.07550883293151855,10,0.1632237434387207
1,5,7,76,1.0463967323303223,710,0.18063735961914062,114,1.9847731590270996
1,6,8,70,1.0865473747253418,562,0.1700901985168457,197,26.99822473526001
1,7,9,100,1.941138505935669,924,0.2662084102630615,0,0.041055917739868164
1,8,10,130,1.6547572612762451,1136,0.3292253017425537,8208,1848.6222264766693
2,1,3,34,0.720322847366333,348,0.09061551094055176,13,0.08679461479187012
2,2,4,37,0.8457973003387451,321,0.0851905345916748,20,0.24756360054016113
2,3,5,66,1.3684217929840088,699,0.19566845893859863,52,2.197780132293701
2,4,6,51,1.1913225650787354,382,0.10833406448364258,13,0.7428934574127197
2,5,7,63,1.4628067016601562,512,0.13359284400939941,68,12.265077829360962
2,6,8,104,2.112452507019043,1305,0.3902769088745117,3228,44.495145320892334
2,7,9,84,1.9409682750701904,601,0.16790175437927246,0,0.05290961265563965
2,8,10,88,2.2304108142852783,675,0.19742894172668457,0,0.028913259506225586
3,1,3,28,0.6669507026672363,256,0.06849861145019531,15,0.05429196357727051
3,2,4,42,0.861750602722168,374,0.09460663795471191,31,0.162034273147583
3,3,5,66,1.3575427532196045,619,0.16093182563781738,12,2.4481303691864014
3,4,6,52,1.329188346862793,314,0.1157383918762207,85,0.33670806884765625
3,5,7,78,1.6159882545471191,777,0.1875462532043457,946,27.450026750564575
3,6,8,78,1.9301362037658691,655,0.19053411483764648,0,0.04626727104187012
3,7,9,103,2.2125930786132812,828,0.21849536895751953,268,55.433984994888306
3,8,10,82,2.0824742317199707,612,0.17197656631469727,828,116.4469907283783
4,1,3,27,0.6607482433319092,210,0.05856776237487793,5,0.03691720962524414
4,2,4,45,1.0242483615875244,429,0.11807489395141602,5,0.257183313369751
4,3,5,41,1.0922062397003174,327,0.09295177459716797,13,0.054559946060180664
4,4,6,62,1.4363768100738525,645,0.16440176963806152,44,1.152982473373413
4,5,7,77,1.7686386108398438,763,0.21721267700195312,31,22.55933117866516
4,6,8,82,1.8943965435028076,684,0.2053377628326416,44,2.7915468215942383
4,7,9,84,1.9816839694976807,681,0.17667388916015625,257,39.083826780319214
4,8,10,109,2.4857900142669678,1053,0.3009800910949707,0,0.04054141044616699
5,1,3,18,0.5369195938110352,104,0.03895068168640137,3,0.016129493713378906
5,2,4,34,0.8575942516326904,227,0.06498360633850098,4,0.10089540481567383
5,3,5,45,1.1043646335601807,343,0.09889435768127441,7,0.6173896789550781
5,4,6,43,1.1691920757293701,255,0.08142948150634766,0,0.01721930503845215
5,5,7,63,1.6124136447906494,507,0.1336214542388916,68,3.0319106578826904
5,6,8,82,1.922114372253418,754,0.19068646430969238,430,28.11668825149536
5,7,9,71,1.8417701721191406,531,0.15524530410766602,30,38.72918939590454
5,8,10,89,2.183666467666626,607,0.16803717613220215,198,33.155174016952515
6,1,3,33,0.6836049556732178,236,0.07552337646484375,4,0.07989072799682617
6,2,4,34,0.8557255268096924,235,0.07459425926208496,4,0.06633234024047852
6,3,5,46,1.0777311325073242,294,0.08277297019958496,22,0.2914907932281494
6,4,6,57,1.3775596618652344,558,0.1393582820892334,29,1.0846812725067139
6,5,7,130,2.3637871742248535,2228,0.5528864860534668,3696,1361.6262912750244
6,6,8,67,1.7407076358795166,573,0.14428210258483887,236,15.27987790107727
6,7,9,77,1.8675577640533447,536,0.1480557918548584,0,0.032213449478149414
6,8,10,106,2.482032299041748,962,0.27890896797180176,848,1345.6580324172974
7,1,3,24,0.6294989585876465,189,0.06328463554382324,9,0.03907918930053711
7,2,4,46,1.0678458213806152,404,0.1147763729095459,24,0.13175034523010254
7,3,5,45,1.1158332824707031,416,0.11039400100708008,36,0.46141672134399414
7,4,6,65,1.4389622211456299,629,0.15787768363952637,40,2.2426109313964844
7,5,7,85,1.9284794330596924,904,0.24063587188720703,1268,148.16985774040222
7,6,8,75,1.8094701766967773,607,0.15626978874206543,0,0.040350914001464844
7,7,9,98,2.2318849563598633,903,0.27171850204467773,1360,338.8269410133362
7,8,10,112,2.574937105178833,1273,0.3889493942260742,0,0.06283450126647949
8,1,3,29,0.704272985458374,205,0.0684957504272461,2,0.02815556526184082
8,2,4,34,0.8965508937835693,252,0.06876111030578613,8,0.047704219818115234
8,3,5,44,1.1041464805603027,296,0.0916147232055664,18,0.09062862396240234
8,4,6,63,1.383000135421753,522,0.1434013843536377,64,2.3692662715911865
8,5,7,55,1.3262524604797363,361,0.094818115234375,32,1.211012840270996
8,6,8,69,1.747382402420044,572,0.1667957305908203,0,0.030208826065063477
8,7,9,84,1.8653223514556885,702,0.18800759315490723,324,23.10877299308777
8,8,10,90,2.296689033508301,673,0.22377943992614746,924,37.54126167297363
9,1,3,27,0.6675429344177246,206,0.06269288063049316,3,0.037786006927490234
9,2,4,42,0.9082419872283936,320,0.09736895561218262,8,0.09251594543457031
9,3,5,75,1.5373849868774414,1008,0.23590636253356934,124,7.199694871902466
9,4,6,50,1.273855447769165,281,0.09892868995666504,8,0.07072019577026367
9,5,7,56,1.4972774982452393,406,0.11097192764282227,54,4.330577611923218
9,6,8,108,2.318744659423828,1140,0.27513790130615234,1300,79.32582092285156
9,7,9,104,2.1351401805877686,1220,0.3045308589935303,1262,973.6675937175751
9,8,10,79,1.9427721500396729,500,0.1498889923095703,0,0.025244712829589844
10,1,3,18,0.5033371448516846,98,0.038023948669433594,4,0.0160672664642334
10,2,4,40,0.874396562576294,362,0.09029507637023926,44,0.5929248332977295
10,3,5,49,1.1715567111968994,443,0.12116336822509766,10,0.43702101707458496
