n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,5,3,2,41,2.920534133911133,319,0.11127710342407227,24,0.6935234069824219
1,2,5,4,2,33,1.045145034790039,190,0.06275343894958496,3,0.08521652221679688
1,3,5,5,2,61,1.3511860370635986,641,0.16946983337402344,24,0.40634584426879883
1,4,5,6,2,47,1.4296047687530518,347,0.11119961738586426,14,0.22522783279418945
1,5,5,7,2,44,1.3301305770874023,341,0.09970331192016602,4,0.10682225227355957
1,6,5,8,2,68,1.796513319015503,849,0.25438761711120605,176,3.145564556121826
1,7,5,9,2,79,1.93977689743042,1110,0.28923773765563965,116,3.793180227279663
1,8,5,10,2,51,1.6821651458740234,430,0.11781954765319824,22,0.27448272705078125
2,1,5,3,2,25,0.6402363777160645,121,0.045525550842285156,2,0.029146194458007812
2,2,5,4,2,65,1.1707124710083008,472,0.1264476776123047,54,2.0295569896698
2,3,5,5,2,45,0.6774306297302246,381,0.09997773170471191,30,0.39133381843566895
2,4,5,6,2,51,0.7049736976623535,402,0.10798263549804688,7,0.35149312019348145
2,5,5,7,2,57,1.3619575500488281,553,0.16159319877624512,24,0.48873233795166016
2,6,5,8,2,71,1.7083091735839844,873,0.22889089584350586,82,2.2457544803619385
2,7,5,9,2,77,1.9529685974121094,1016,0.24669694900512695,197,7.584227561950684
2,8,5,10,2,58,1.7618207931518555,714,0.19187140464782715,104,0.8618791103363037
3,1,5,3,2,36,0.7509660720825195,228,0.06067061424255371,10,0.19452357292175293
3,2,5,4,2,43,0.8642213344573975,308,0.08721041679382324,7,0.5465731620788574
3,3,5,5,2,48,0.9599769115447998,438,0.14661478996276855,26,0.6397361755371094
3,4,5,6,2,42,0.9872841835021973,310,0.10013842582702637,20,0.16372895240783691
3,5,5,7,2,43,1.0155572891235352,333,0.09894919395446777,8,0.17280220985412598
3,6,5,8,2,109,2.069868326187134,1917,0.4338674545288086,992,23.100493669509888
3,7,5,9,2,89,1.9816257953643799,1437,0.3799855709075928,488,68.21838116645813
3,8,5,10,2,80,2.305373430252075,1174,0.3173713684082031,396,4.08709454536438
4,1,5,3,2,48,0.8994996547698975,380,0.09636521339416504,14,0.5084619522094727
4,2,5,4,2,40,0.8581178188323975,299,0.08028721809387207,7,0.08430123329162598
4,3,5,5,2,54,1.1428604125976562,529,0.13813400268554688,56,0.9873225688934326
4,4,5,6,2,61,1.3529977798461914,641,0.18807721138000488,66,0.460568904876709
4,5,5,7,2,60,1.4836137294769287,593,0.17293667793273926,90,4.656242370605469
4,6,5,8,2,40,1.1904528141021729,251,0.0914011001586914,12,0.10488653182983398
4,7,5,9,2,68,1.8493719100952148,631,0.18210601806640625,32,3.7623603343963623
4,8,5,10,2,73,2.024379253387451,786,0.2259812355041504,42,3.2948734760284424
5,1,5,3,2,36,0.7343204021453857,279,0.0766134262084961,24,0.1888890266418457
5,2,5,4,2,47,0.979377031326294,408,0.10204172134399414,44,0.6563234329223633
5,3,5,5,2,48,0.999697208404541,304,0.09947967529296875,26,0.5161211490631104
5,4,5,6,2,44,1.038111925125122,360,0.11276698112487793,16,0.6268434524536133
5,5,5,7,2,54,1.2776141166687012,440,0.1324906349182129,28,0.5987250804901123
5,6,5,8,2,57,1.3637619018554688,522,0.18212246894836426,46,0.6679890155792236
5,7,5,9,2,60,1.583458423614502,587,0.1604776382446289,130,1.2731833457946777
