n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,5,5,2,45,1.6442394256591797,402,0.11302900314331055,44,0.43860483169555664
1,2,5,5,3,90,2.4920878410339355,2097,0.4687354564666748,19,43.7386417388916
1,3,5,5,4,198,5.094712257385254,13964,3.4857017993927,16,7246.141909599304
2,1,5,5,2,52,1.3131353855133057,501,0.1340341567993164,12,1.0023767948150635
2,2,5,5,3,78,2.1746280193328857,1608,0.40928149223327637,11,7.884499788284302
2,3,5,5,4,144,4.204256534576416,7419,1.9258289337158203,3,1053.746572971344
3,1,5,5,2,55,1.3331828117370605,618,0.14667057991027832,148,0.7589917182922363
3,2,5,5,3,69,1.9699666500091553,1339,0.30465173721313477,9,9.707531452178955
3,3,5,5,4,178,4.619041442871094,10378,2.7667133808135986,16,5216.278526306152
4,1,5,5,2,39,1.1738512516021729,250,0.06818580627441406,18,0.25327467918395996
4,2,5,5,3,65,1.9857890605926514,1176,0.27707624435424805,8,2.645130157470703
4,3,5,5,4,168,4.419806718826294,10232,2.461751699447632,6,3008.660310983658
5,1,5,5,2,45,1.1696362495422363,404,0.13003945350646973,4,0.3125424385070801
5,2,5,5,3,86,2.2681479454040527,1995,0.5027475357055664,10,7.40114688873291
5,3,5,5,4,220,4.9348907470703125,18088,4.5558857917785645,24,18295.57348060608
6,1,5,5,2,47,1.2298593521118164,413,0.1041421890258789,40,0.6383225917816162
6,2,5,5,3,106,2.477534294128418,2784,0.7163703441619873,27,158.96056485176086
6,3,5,5,4,189,4.496065139770508,13723,3.119234085083008,17,6344.335018873215
7,1,5,5,2,65,1.4684650897979736,667,0.1959855556488037,34,0.37154197692871094
7,2,5,5,3,90,2.3116037845611572,2200,0.5162351131439209,7,27.805288791656494
7,3,5,5,4,188,4.911139011383057,13508,3.2480709552764893,26,10801.290709495544
8,1,5,5,2,67,1.4275870323181152,846,0.21690750122070312,160,6.224929094314575
8,2,5,5,3,78,2.154934883117676,1636,0.3797426223754883,8,13.500513076782227
8,3,5,5,4,184,4.398677587509155,12447,3.018807888031006,21,3170.422454357147
9,1,5,5,2,45,1.170757532119751,330,0.0865013599395752,26,0.4227132797241211
9,2,5,5,3,118,2.7046258449554443,3742,0.8962185382843018,45,162.68494534492493
9,3,5,5,4,200,4.689634561538696,13264,3.3282406330108643,16,9581.1029214859
10,1,5,5,2,62,1.3845112323760986,627,0.14505505561828613,210,1.8025879859924316
10,2,5,5,3,134,3.0042176246643066,5108,1.111513376235962,244,1370.8838858604431
10,3,5,5,4,134,3.8854637145996094,6585,1.5909595489501953,3,1226.2925610542297
11,1,5,5,2,37,1.0374431610107422,280,0.06917262077331543,20,0.10108733177185059
11,2,5,5,3,87,2.2707600593566895,2258,0.48258304595947266,12,49.01510214805603
11,3,5,5,4,124,3.9854753017425537,5913,1.450089693069458,2,869.2827713489532
12,1,5,5,2,36,1.044386386871338,245,0.08360552787780762,5,0.05025815963745117
12,2,5,5,3,72,2.0251152515411377,1540,0.3353312015533447,22,9.342319965362549
12,3,5,5,4,218,5.31583571434021,17186,4.5625622272491455,22,10398.807994127274
13,1,5,5,2,60,1.32633376121521,636,0.1847233772277832,43,0.6998603343963623
13,2,5,5,3,80,2.2980716228485107,1818,0.40726566314697266,15,25.01857089996338
13,3,5,5,4,97,3.4250903129577637,3738,0.8451974391937256,3,254.27599930763245
14,1,5,5,2,61,1.3254213333129883,555,0.15667009353637695,22,0.425490140914917
14,2,5,5,3,107,2.5598413944244385,2893,0.6969256401062012,28,47.86426877975464
14,3,5,5,4,182,4.5272321701049805,12568,3.0520145893096924,16,11763.541425943375
15,1,5,5,2,48,1.1775577068328857,420,0.1215357780456543,18,0.6974995136260986
15,2,5,5,3,102,2.524310350418091,2332,0.6308002471923828,16,47.97499680519104
15,3,5,5,4,175,4.5609729290008545,10805,2.9558675289154053,11,3230.6774678230286
16,1,5,5,2,44,1.156846523284912,378,0.08676671981811523,39,0.30490946769714355
16,2,5,5,3,65,1.8525416851043701,1126,0.26154613494873047,6,10.510825395584106
16,3,5,5,4,168,4.144909381866455,10300,2.4538402557373047,40,4307.8402762413025
17,1,5,5,2,42,1.1096324920654297,345,0.09824585914611816,14,0.16211986541748047
17,2,5,5,3,67,2.026305913925171,1201,0.28667354583740234,2,3.551553726196289
17,3,5,5,4,148,3.8844902515411377,7934,1.884399175643921,9,2025.3649249076843
18,1,5,5,2,58,1.2912623882293701,608,0.14374041557312012,162,2.3637702465057373
18,2,5,5,3,90,2.4994635581970215,1925,0.4159705638885498,11,30.529212474822998
18,3,5,5,4,121,3.8761847019195557,5268,1.3002214431762695,2,529.531142950058
19,1,5,5,2,57,1.3054141998291016,555,0.1414198875427246,32,2.512136936187744
19,2,5,5,3,77,2.123847007751465,1534,0.35463452339172363,10,10.713299989700317
19,3,5,5,4,203,4.802034139633179,15386,3.719252109527588,17,13402.92009806633
20,1,5,5,2,45,1.1679556369781494,409,0.09895467758178711,29,0.39377260208129883
20,2,5,5,3,96,2.486114263534546,2309,0.7561736106872559,24,72.7933976650238
20,3,5,5,4,128,3.73004412651062,5818,1.389577865600586,2,358.01979327201843
21,1,5,5,2,40,1.1060047149658203,268,0.0812368392944336,8,0.09755945205688477
21,2,5,5,3,119,2.581430435180664,3918,0.8888051509857178,48,594.2671065330505
21,3,5,5,4,216,5.027977228164673,16980,4.52689528465271,24,7156.912975311279
22,1,5,5,2,46,1.226468563079834,338,0.10910725593566895,9,0.24734878540039062
22,2,5,5,3,101,2.5545363426208496,2548,0.5932657718658447,69,68.89173173904419
22,3,5,5,4,119,3.6120781898498535,5270,1.216606616973877,2,445.45472288131714
23,1,5,5,2,62,1.3099594116210938,670,0.14848971366882324,80,1.593287706375122
23,2,5,5,3,111,2.7011008262634277,2956,0.713007926940918,42,72.58367395401001
23,3,5,5,4,161,4.621014595031738,8535,2.4690186977386475,5,1208.108947277069
24,1,5,5,2,54,1.3263461589813232,371,0.10135984420776367,26,0.3243987560272217
24,2,5,5,3,91,2.2719311714172363,1971,0.442704439163208,18,5.491407155990601
24,3,5,5,4,161,4.013369798660278,9466,2.304929256439209,10,3158.2690913677216
25,1,5,5,2,46,1.1792058944702148,388,0.1068887710571289,20,0.1277475357055664
25,2,5,5,3,125,3.035817861557007,3804,0.9629931449890137,59,125.31395435333252
25,3,5,5,4,140,4.477806806564331,7260,1.7808811664581299,5,1626.810286283493
26,1,5,5,2,64,1.4797885417938232,688,0.16157174110412598,132,2.4222664833068848
26,2,5,5,3,71,2.1173248291015625,1365,0.3367743492126465,7,2.700662136077881
26,3,5,5,4,212,4.935785293579102,15798,3.9184539318084717,17,13902.167161464691
27,1,5,5,2,35,1.0140399932861328,275,0.07041692733764648,6,0.17759013175964355
27,2,5,5,3,87,2.2534329891204834,2014,0.5057156085968018,20,58.83594751358032
27,3,5,5,4,120,4.0069591999053955,5404,1.2695558071136475,6,470.9790952205658
28,1,5,5,2,37,0.9801950454711914,225,0.06590151786804199,4,0.08650732040405273
28,2,5,5,3,86,2.2920827865600586,2029,0.47395968437194824,7,58.577847957611084
28,3,5,5,4,118,4.1352949142456055,4972,1.1994874477386475,4,407.99510765075684
29,1,5,5,2,48,1.1658885478973389,412,0.09845542907714844,34,0.25936460494995117
29,2,5,5,3,68,2.011913776397705,1279,0.28664112091064453,11,4.244095802307129
29,3,5,5,4,117,3.7641499042510986,5281,1.203995943069458,4,560.0547227859497
30,1,5,5,2,51,1.2639217376708984,542,0.1318676471710205,36,1.093745470046997
30,2,5,5,3,154,3.074361562728882,6276,1.6249282360076904,169,918.485737323761
30,3,5,5,4,190,4.947760581970215,13356,3.144284248352051,49,12075.50473356247
31,1,5,5,2,56,1.3498427867889404,598,0.1508955955505371,84,0.9716169834136963
31,2,5,5,3,83,2.179126739501953,1706,0.4112727642059326,5,16.936151266098022
31,3,5,5,4,150,4.2422637939453125,7612,2.030379295349121,6,1155.5397021770477
32,1,5,5,2,37,1.02459716796875,279,0.06933140754699707,4,0.04715728759765625
32,2,5,5,3,70,1.9639270305633545,1307,0.3023111820220947,6,14.529037952423096
32,3,5,5,4,180,4.553356170654297,12216,2.853611469268799,44,7761.000851154327
33,1,5,5,2,46,1.1864759922027588,396,0.10071873664855957,20,0.18079066276550293
33,2,5,5,3,92,2.224595546722412,2098,0.5348067283630371,19,39.79847812652588
33,3,5,5,4,214,5.215022802352905,16654,4.365888595581055,21,23521.514708042145
34,1,5,5,2,52,1.2825148105621338,465,0.11685419082641602,8,0.7715189456939697
34,2,5,5,3,68,1.8336644172668457,1220,0.30232810974121094,3,1.5717740058898926
34,3,5,5,4,162,4.384481906890869,9344,2.4245338439941406,7,2440.7971782684326
35,1,5,5,2,46,1.205714225769043,370,0.0912165641784668,60,0.22453713417053223
35,2,5,5,3,81,2.1406545639038086,1958,0.4209260940551758,23,20.977399587631226
35,3,5,5,4,198,4.844147682189941,13864,3.5265913009643555,16,5474.819607496262
36,1,5,5,2,60,1.3577542304992676,572,0.1314699649810791,76,0.9707126617431641
36,2,5,5,3,96,2.353923797607422,1889,0.5267555713653564,5,26.447975158691406
36,3,5,5,4,174,4.598754644393921,10764,3.0292916297912598,14,3846.405138015747
37,1,5,5,2,56,1.261725664138794,445,0.10039114952087402,44,0.7498435974121094
37,2,5,5,3,149,3.1211864948272705,6728,1.5275461673736572,219,649.8476860523224
37,3,5,5,4,168,4.730585813522339,10182,2.421802043914795,9,2857.8813605308533
38,1,5,5,2,40,1.0876643657684326,275,0.07453274726867676,30,0.3841686248779297
38,2,5,5,3,104,2.518585681915283,2233,0.5399775505065918,10,25.201817512512207
38,3,5,5,4,124,3.591275215148926,5688,1.3105554580688477,16,620.7252860069275
39,1,5,5,2,39,1.1152889728546143,299,0.08026838302612305,11,0.18310189247131348
39,2,5,5,3,117,2.7766151428222656,3884,0.9544451236724854,67,365.1045367717743
39,3,5,5,4,180,4.508356332778931,12048,3.1049232482910156,14,11111.66772556305
40,1,5,5,2,61,1.3406355381011963,737,0.16957974433898926,120,0.7699658870697021
40,2,5,5,3,86,2.489072322845459,1837,0.4533724784851074,6,31.302464723587036
40,3,5,5,4,124,3.8324689865112305,5737,1.3978307247161865,4,406.37630009651184
