n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,3,18,0.5008647441864014,88,0.022498607635498047,7,0.0075762271881103516
1,2,4,22,0.401477575302124,61,0.01918959617614746,22,0.010544776916503906
1,3,5,41,0.7580282688140869,228,0.05849194526672363,25,0.12871623039245605
1,4,6,26,0.72566819190979,44,0.015486478805541992,34,0.011733770370483398
1,5,7,71,1.4054486751556396,442,0.12587213516235352,204,0.6912710666656494
1,6,8,59,0.8986151218414307,250,0.08089804649353027,468,0.7788677215576172
1,7,9,71,1.2762691974639893,451,0.11065411567687988,252,9.632515668869019
1,8,10,96,1.3970251083374023,658,0.18473005294799805,10500,46.48116087913513
1,9,11,100,1.6268889904022217,645,0.1896665096282959,0,0.009155511856079102
1,10,12,122,1.815140724182129,933,0.23806071281433105,21600,290.44128942489624
1,11,13,96,1.8408498764038086,555,0.15198493003845215,0,0.0111846923828125
1,12,14,125,2.091817855834961,936,0.2227635383605957,0,0.008600234985351562
1,13,15,106,1.583899974822998,464,0.1206057071685791,0,0.01580047607421875
1,14,16,123,2.2672033309936523,608,0.19043779373168945,0,0.006125211715698242
1,15,17,156,2.308093786239624,1072,0.29673218727111816,0,0.19512414932250977
1,16,18,145,2.270658254623413,847,0.22777700424194336,0,0.00773167610168457
1,17,19,132,2.077023983001709,600,0.1703033447265625,0,0.01220083236694336
1,18,20,129,2.1154026985168457,656,0.17315411567687988,0,0.007309675216674805
