n_sample,n_network,n_rdds,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,3,30,0.7166893482208252,164,0.08243131637573242,6,0.08463573455810547
1,2,4,31,0.8776295185089111,205,0.08882021903991699,16,0.12191534042358398
1,3,5,32,0.9381170272827148,133,0.08866333961486816,48,0.05862569808959961
1,4,6,42,1.0746331214904785,205,0.09397244453430176,174,0.3241615295410156
1,5,7,49,1.305309772491455,241,0.10674762725830078,0,0.07555866241455078
1,6,8,61,1.4953653812408447,312,0.13829994201660156,0,0.12335586547851562
1,7,9,62,1.720578670501709,286,0.11577463150024414,216,3.6790449619293213
1,8,10,52,1.5361409187316895,224,0.10341334342956543,0,0.08220481872558594
2,1,3,17,0.5330300331115723,60,0.0509951114654541,8,0.035440683364868164
2,2,4,35,0.7575411796569824,108,0.056015729904174805,0,0.0608363151550293
2,3,5,36,0.9672112464904785,129,0.07215070724487305,37,0.09195566177368164
2,4,6,115,2.069594144821167,2168,0.5855846405029297,8712,60.730109453201294
2,5,7,80,1.6992974281311035,466,0.16536402702331543,0,0.10955333709716797
2,6,8,63,1.531233549118042,409,0.13760089874267578,0,0.17800569534301758
2,7,9,71,1.817458152770996,403,0.15148019790649414,0,0.09641742706298828
2,8,10,71,2.0289909839630127,402,0.14208269119262695,0,0.1061556339263916
3,1,3,17,0.5247087478637695,62,0.04999065399169922,3,0.036820173263549805
3,2,4,19,0.5627081394195557,56,0.08026623725891113,11,0.03529834747314453
3,3,5,25,0.7975618839263916,96,0.06435251235961914,9,0.054517507553100586
3,4,6,35,1.0646963119506836,152,0.09200310707092285,5,0.07275509834289551
3,5,7,37,1.0469372272491455,148,0.1131439208984375,66,0.17966175079345703
3,6,8,49,1.2741999626159668,214,0.12856721878051758,0,0.07194232940673828
3,7,9,84,1.9999706745147705,608,0.20583271980285645,0,0.18620038032531738
3,8,10,65,1.9408881664276123,311,0.14028239250183105,0,0.0764760971069336
4,1,3,23,0.5725760459899902,82,0.05810952186584473,15,0.03683876991271973
4,2,4,21,0.6242513656616211,69,0.09482622146606445,24,0.04901480674743652
4,3,5,37,1.0006728172302246,165,0.07954955101013184,33,0.10556221008300781
4,4,6,35,1.0363719463348389,148,0.0765542984008789,56,0.1134026050567627
4,5,7,49,1.238126277923584,233,0.0968632698059082,1220,1.9113233089447021
4,6,8,82,2.0208210945129395,781,0.28531956672668457,0,0.11992144584655762
4,7,9,65,1.6966910362243652,310,0.11600112915039062,0,0.10906195640563965
4,8,10,75,2.0307133197784424,425,0.16333365440368652,0,0.07611942291259766
5,1,3,20,0.45737266540527344,56,0.05517888069152832,16,0.09971499443054199
5,2,4,29,0.857841968536377,156,0.07879424095153809,3,0.049994707107543945
5,3,5,35,0.8462631702423096,122,0.08333063125610352,48,0.09341883659362793
5,4,6,51,1.2329022884368896,259,0.10499691963195801,438,1.9121882915496826
5,5,7,56,1.348231554031372,291,0.11339306831359863,0,0.07791972160339355
5,6,8,63,1.7682573795318604,376,0.1996912956237793,0,0.12263989448547363
5,7,9,87,1.7716772556304932,459,0.1690518856048584,10816,15.38660740852356
5,8,10,71,1.687270164489746,260,0.10321354866027832,11824,17.17366600036621
6,1,3,23,0.5847127437591553,108,0.05738210678100586,24,0.06412768363952637
6,2,4,26,0.8089165687561035,134,0.07335138320922852,7,0.045081377029418945
6,3,5,33,0.8645081520080566,118,0.06477117538452148,36,0.16049885749816895
6,4,6,45,1.079491138458252,206,0.09156179428100586,56,0.294985294342041
6,5,7,42,1.1817874908447266,133,0.07014608383178711,54,0.37549901008605957
6,6,8,54,1.5564992427825928,289,0.15175390243530273,134,0.6299591064453125
6,7,9,53,1.5058772563934326,210,0.11252784729003906,0,0.1994800567626953
6,8,10,113,2.3880934715270996,580,0.19269561767578125,0,0.1296398639678955
7,1,3,21,0.6618735790252686,120,0.06680631637573242,2,0.07865047454833984
7,2,4,16,0.5610618591308594,49,0.09498429298400879,3,0.04384446144104004
7,3,5,32,0.9320962429046631,162,0.08754849433898926,3,0.08583569526672363
7,4,6,40,1.118852138519287,208,0.08034968376159668,17,0.16595959663391113
7,5,7,38,1.193173885345459,170,0.09559512138366699,20,0.14113593101501465
7,6,8,78,1.7988972663879395,563,0.18966364860534668,2176,2.457489013671875
7,7,9,85,2.0299670696258545,702,0.24410367012023926,0,0.13839197158813477
7,8,10,71,1.884422779083252,375,0.1580495834350586,0,0.13264799118041992
8,1,3,29,0.7310400009155273,209,0.0889275074005127,10,0.05520963668823242
8,2,4,31,0.7936036586761475,178,0.08616065979003906,16,0.09374499320983887
8,3,5,37,1.098365306854248,198,0.0782613754272461,32,0.23011207580566406
8,4,6,59,1.3287560939788818,432,0.1978905200958252,294,1.6970407962799072
8,5,7,47,1.066676139831543,193,0.09205365180969238,0,0.056418418884277344
8,6,8,79,1.878943681716919,586,0.1823596954345703,0,0.12261533737182617
8,7,9,72,1.705260992050171,252,0.11768603324890137,4480,34.70319724082947
8,8,10,75,1.824899673461914,357,0.1297624111175537,2712,16.46016240119934
9,1,3,20,0.5333123207092285,71,0.04282259941101074,11,0.0608210563659668
9,2,4,21,0.5152556896209717,60,0.04611468315124512,20,0.03190302848815918
9,3,5,35,0.919396162033081,184,0.07860684394836426,0,0.04018449783325195
9,4,6,32,0.9695563316345215,115,0.06446409225463867,26,0.07790303230285645
9,5,7,51,1.3289377689361572,263,0.1062314510345459,0,0.12738490104675293
9,6,8,63,1.6388168334960938,294,0.1757221221923828,0,0.10984659194946289
9,7,9,63,1.6119325160980225,258,0.1042172908782959,0,0.06355571746826172
9,8,10,89,2.1235837936401367,540,0.17791414260864258,1872,4.944836139678955
10,1,3,25,0.7212178707122803,140,0.07399463653564453,3,0.0509645938873291
10,2,4,33,0.8866021633148193,203,0.0778810977935791,13,0.07955789566040039
10,3,5,63,1.3568432331085205,592,0.20779180526733398,136,0.7791247367858887
10,4,6,61,1.3452153205871582,448,0.1498885154724121,0,0.08510446548461914
10,5,7,92,1.974560260772705,562,0.17516064643859863,0,0.18102455139160156
10,6,8,86,1.9443118572235107,671,0.21390795707702637,0,0.15427637100219727
10,7,9,69,1.882054328918457,442,0.16405034065246582,0,0.08879876136779785
10,8,10,77,1.9594848155975342,447,0.19258975982666016,0,0.08301091194152832
