n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
1,1,5,3,2,43,2.884047746658325,377,0.12309837341308594,13,0.36103129386901855
1,2,5,4,2,44,1.117849588394165,308,0.08942580223083496,10,0.08792304992675781
1,3,5,5,2,51,1.2482407093048096,435,0.12899327278137207,10,0.46547746658325195
1,4,5,6,2,44,1.2210001945495605,306,0.08869242668151855,12,0.0496366024017334
1,5,5,7,2,70,1.7670891284942627,799,0.21118497848510742,115,5.768998384475708
1,6,5,8,2,71,1.8193409442901611,696,0.1723337173461914,142,1.3562300205230713
1,7,5,9,2,54,1.62156081199646,615,0.14762496948242188,54,0.8592729568481445
1,8,5,10,2,89,2.4949069023132324,1090,0.27035093307495117,336,15.986148357391357
2,1,5,3,2,45,0.9726319313049316,454,0.11327743530273438,11,0.13974761962890625
2,2,5,4,2,40,1.0366294384002686,307,0.08782768249511719,7,0.1009531021118164
2,3,5,5,2,38,1.0689454078674316,239,0.07896065711975098,3,0.06163978576660156
2,4,5,6,2,57,1.5345606803894043,547,0.13374686241149902,41,0.6863045692443848
2,5,5,7,2,60,1.5409603118896484,676,0.17533588409423828,88,3.7961015701293945
2,6,5,8,2,41,1.3060619831085205,278,0.07368922233581543,29,0.23966598510742188
2,7,5,9,2,77,2.278597354888916,1015,0.2581758499145508,121,10.09076738357544
2,8,5,10,2,78,2.4110279083251953,1004,0.2503972053527832,208,24.237802982330322
3,1,5,3,2,35,0.9292585849761963,206,0.06510663032531738,7,0.12388253211975098
3,2,5,4,2,52,1.2304487228393555,458,0.11407685279846191,64,2.200991153717041
3,3,5,5,2,40,1.1405577659606934,303,0.07993102073669434,26,0.2511026859283447
3,4,5,6,2,44,1.2488751411437988,277,0.09087800979614258,12,0.15525531768798828
3,5,5,7,2,75,1.7724120616912842,851,0.26676416397094727,52,1.075249433517456
3,6,5,8,2,46,1.5760819911956787,414,0.11256170272827148,21,0.6002249717712402
3,7,5,9,2,64,1.9387874603271484,775,0.20290565490722656,120,1.8506712913513184
3,8,5,10,2,59,2.109915018081665,597,0.1926436424255371,72,3.0037856101989746
4,1,5,3,2,30,0.9430956840515137,165,0.05882883071899414,3,0.09203672409057617
4,2,5,4,2,36,0.9773519039154053,258,0.09586477279663086,6,0.08227944374084473
4,3,5,5,2,53,1.2267842292785645,621,0.1530165672302246,82,2.327474594116211
4,4,5,6,2,50,1.303375005722046,491,0.12048745155334473,42,0.11453008651733398
4,5,5,7,2,62,1.5421273708343506,722,0.19644451141357422,118,1.8939881324768066
4,6,5,8,2,92,2.3180034160614014,1307,0.3540377616882324,476,12.939282894134521
4,7,5,9,2,52,1.6678946018218994,481,0.1290111541748047,66,1.9513390064239502
4,8,5,10,2,46,1.9298219680786133,362,0.10428905487060547,50,0.7285263538360596
5,1,5,3,2,38,0.9956204891204834,241,0.07626843452453613,3,0.11959457397460938
5,2,5,4,2,38,1.0827076435089111,297,0.08131790161132812,21,0.22603273391723633
5,3,5,5,2,42,1.1495988368988037,270,0.09624910354614258,3,0.17085528373718262
5,4,5,6,2,50,1.3386740684509277,509,0.1406385898590088,52,1.0182914733886719
5,5,5,7,2,72,1.7501978874206543,843,0.3065063953399658,140,1.3643875122070312
5,6,5,8,2,78,2.029451608657837,997,0.24603605270385742,78,2.3965015411376953
5,7,5,9,2,87,2.7342147827148438,1267,0.315518856048584,272,6.4296863079071045
5,8,5,10,2,77,2.356846332550049,882,0.3175008296966553,42,3.6098523139953613
